date,GDP,GDP_lag1,EMP_CAN_lag1,RT_new_lag1,MANU_N_ORD_new_lag1,Imp_BP_new_lag1,IP_new_lag1,GDP_lag2,EMP_CAN_lag2,RT_new_lag2,MANU_N_ORD_new_lag2,Imp_BP_new_lag2,IP_new_lag2,GDP_lag3,EMP_CAN_lag3,RT_new_lag3,MANU_N_ORD_new_lag3,Imp_BP_new_lag3,IP_new_lag3,GDP_lag4,EMP_CAN_lag4,RT_new_lag4,MANU_N_ORD_new_lag4,Imp_BP_new_lag4,IP_new_lag4,GDP_lag5,EMP_CAN_lag5,RT_new_lag5,MANU_N_ORD_new_lag5,Imp_BP_new_lag5,IP_new_lag5,GDP_roll_2,EMP_CAN_roll_2,RT_new_roll_2,MANU_N_ORD_new_roll_2,Imp_BP_new_roll_2,IP_new_roll_2,GDP_roll_3,EMP_CAN_roll_3,RT_new_roll_3,MANU_N_ORD_new_roll_3,Imp_BP_new_roll_3,IP_new_roll_3,GDP_roll_4,EMP_CAN_roll_4,RT_new_roll_4,MANU_N_ORD_new_roll_4,Imp_BP_new_roll_4,IP_new_roll_4,GDP_roll_5,EMP_CAN_roll_5,RT_new_roll_5,MANU_N_ORD_new_roll_5,Imp_BP_new_roll_5,IP_new_roll_5,GDP_roll_6,EMP_CAN_roll_6,RT_new_roll_6,MANU_N_ORD_new_roll_6,Imp_BP_new_roll_6,IP_new_roll_6,GDP_roll_7,EMP_CAN_roll_7,RT_new_roll_7,MANU_N_ORD_new_roll_7,Imp_BP_new_roll_7,IP_new_roll_7,GDP_roll_8,EMP_CAN_roll_8,RT_new_roll_8,MANU_N_ORD_new_roll_8,Imp_BP_new_roll_8,IP_new_roll_8,GDP_roll_9,EMP_CAN_roll_9,RT_new_roll_9,MANU_N_ORD_new_roll_9,Imp_BP_new_roll_9,IP_new_roll_9,GDP_roll_10,EMP_CAN_roll_10,RT_new_roll_10,MANU_N_ORD_new_roll_10,Imp_BP_new_roll_10,IP_new_roll_10
1981-06-01,-0.1484003,-0.836364,0.2647652,-4.7543982,-0.2776977,1.4772462,-1.7627462,1.176457,0.3283988,2.5879448,3.0885672,8.8730283,1.893795,-0.0819862,-0.0407765,1.140478,-0.5999659,-0.6477597,0,0.3042663,0.6829789,0.0578932,3.6267067,-0.2410189,0.4222092,-0.0865156,0.5951733,-0.0591777,-0.136071,3.0586656,-0.3993412,-0.25520415,-0.0414422,0.9947173,1.53285905,-1.06480865,0.44054,-0.4489241,0.060626933,-0.921654533,0.929340133,-0.217457033,-0.293888733,-0.539426275,0.08381275,-1.296476025,-1.5952472,-1.635948975,-1.25079545,-0.19624962,0.13272996,-0.51959186,-0.65848432,0.46584648,-0.62187736,0.02370535,0.073722283,-0.300938967,0.7022313,1.529818717,-0.10713405,0.008606557,0.057365314,-0.095022257,0.516203129,1.218736086,-0.091829186,-0.080764263,0.018597725,-0.098381513,0.223690825,0.448982263,-0.2973447,-0.037983089,0.092417856,-0.081017656,0.6018037,0.372315467,-0.217394267,-0.03765137,0.07556262,-0.40010707,0.39586834,0.28335776,-0.37969533
1981-07-01,-0.362008,-0.1484003,0.2623079,-0.3087901,0.242261,-0.1154837,0.4721658,-0.836364,0.2647652,-4.7543982,-0.2776977,1.4772462,-1.7627462,1.176457,0.3283988,2.5879448,3.0885672,8.8730283,1.893795,-0.0819862,-0.0407765,1.140478,-0.5999659,-0.6477597,0,0.3042663,0.6829789,0.0578932,3.6267067,-0.2410189,0.4222092,-0.5864704,-0.09591105,-0.0613579,-3.17277605,-3.9527792,-1.8563007,-0.440447033,0.023495267,-0.1438353,-2.034430367,-2.6736807,-1.0801452,-0.049465225,-0.037707575,0.0902049,0.350629575,-0.29284055,-0.193463275,-0.20684498,0.02278698,-0.87871572,0.22496412,0.0611768,-0.50731986,-0.290097483,-0.023140083,-0.75257915,-0.11651245,-0.772235083,-0.7120921,-0.0805897,0.027079757,-0.275361443,0.341356071,0.605659686,-0.339822514,-0.074849225,0.014177975,-0.649930238,0.116492825,0.465294525,-0.527395313,-0.075642222,0.008071922,-0.450995989,0.0368863,0.341621833,-0.468795833,-0.00346083,-0.04200848,-0.46249461,0.01088532,0.39952901,-0.35261282
1981-08-01,-0.8109328,-0.362008,-0.3451923,2.2982247,2.8234571,-2.0141336,0.4089142,-0.1484003,0.2623079,-0.3087901,0.242261,-0.1154837,0.4721658,-0.836364,0.2647652,-4.7543982,-0.2776977,1.4772462,-1.7627462,1.176457,0.3283988,2.5879448,3.0885672,8.8730283,1.893795,-0.0819862,-0.0407765,1.140478,-0.5999659,-0.6477597,0,0.1562737,-0.03397295,-0.8143075,-0.8315999,0.47912755,-0.82746655,-0.016486867,-0.137712733,0.223203233,0.386752433,-0.3519595,-0.415339633,-0.18895515,-0.1664784,0.13692835,-0.1659095,-1.49879325,-0.74549305,-0.18084418,-0.08072114,0.04778466,-0.0842754,-1.22213134,-0.50196128,-0.156481133,-0.0799567,-0.505498083,-0.313154483,-1.10465305,-0.725035217,-0.253607257,-0.030710714,-1.112483814,-0.308089229,-0.7358103,-0.873279643,-0.141134888,-0.088463388,-1.044171113,-0.297468513,-0.528747313,-0.6774904,0.005264211,-0.042145367,-0.640602678,0.078757678,0.515894422,-0.391792022,-0.13213392,-0.06511263,-0.70353705,-0.15363607,-1.22322667,-0.45128027
1981-09-01,1.1234802,-0.8109328,0.1533702,-2.4209405,-9.1690092,-5.8914248,-4.1215156,-0.362008,-0.3451923,2.2982247,2.8234571,-2.0141336,0.4089142,-0.1484003,0.2623079,-0.3087901,0.242261,-0.1154837,0.4721658,-0.836364,0.2647652,-4.7543982,-0.2776977,1.4772462,-1.7627462,1.176457,0.3283988,2.5879448,3.0885672,8.8730283,1.893795,0.2085601,-0.23704575,0.3352146,2.84095705,0.9551927,0.3653146,-0.131270867,-0.1069071,-0.583503767,-1.162365033,-1.327013133,-1.130295467,-0.107119625,-0.09921395,-1.255605775,-1.23616125,-1.12457525,-1.307822825,-0.1580973,-0.14840962,-0.54483968,-0.42423758,-1.30248692,-0.96447542,-0.024052467,-0.2057967,-0.548363433,-0.390718567,-0.931956833,-0.6882238,-0.041816443,-0.138924614,-0.514138671,-0.300292914,-0.815317814,-0.522453857,-0.207679025,-0.155536288,-0.608614638,-0.543403775,-2.82281765,-0.580481438,-0.277532911,-0.108836122,-1.069257256,-0.513880878,-2.345032778,-0.711844189,-0.19337334,-0.13245935,-0.79738618,-0.17337397,-1.05443949,-0.62688253
1981-10-01,-0.70636,1.1234802,-0.2213161,0.7923255,7.5058094,6.8496799,2.4665825,-0.8109328,0.1533702,-2.4209405,-9.1690092,-5.8914248,-4.1215156,-0.362008,-0.3451923,2.2982247,2.8234571,-2.0141336,0.4089142,-0.1484003,0.2623079,-0.3087901,0.242261,-0.1154837,0.4721658,-0.836364,0.2647652,-4.7543982,-0.2776977,1.4772462,-1.7627462,-0.37051295,-0.16445495,-1.69690405,-1.6407226,-2.72827805,-1.7881791,0.127484767,-0.183408667,-0.867160867,1.4081214,0.4643746,-0.369925233,0.2571565,-0.260739525,-0.7918662,1.000310175,0.57845435,-0.10418535,0.04353864,-0.17791758,-1.11768106,-1.0335537,-0.71552148,-0.9076514,-0.191837317,-0.19356765,-1.143058617,-1.235491383,-3.40882065,-0.920821917,-0.216147414,-0.215228314,-0.651446714,-0.6556416,-3.209579643,-0.730859614,-0.118621138,-0.231458325,-0.363834188,-0.212287875,-1.488269675,-0.622280613,-0.121929933,-0.176595411,-0.357718178,-0.161782444,-1.3357379,-0.500675456,-0.1742393,-0.18251539,-0.48689171,-0.09736605,-1.00455012,-0.58621663
1981-11-01,-0.0346659,-0.70636,-0.2527754,-0.1218963,-1.8238953,-4.9392945,-1.7359533,1.1234802,-0.2213161,0.7923255,7.5058094,6.8496799,2.4665825,-0.8109328,0.1533702,-2.4209405,-9.1690092,-5.8914248,-4.1215156,-0.362008,-0.3451923,2.2982247,2.8234571,-2.0141336,0.4089142,-0.1484003,0.2623079,-0.3087901,0.242261,-0.1154837,0.4721658,0.3057529,-0.2844333,-1.918947,-0.8403367,0.201716,-0.5736853,-0.031618067,-0.273880667,-1.3199301,-1.168189567,-1.511954167,-0.961107967,-0.365892825,-0.273365,-1.307434175,-1.437437125,-5.35279475,-0.9674996,-0.06801822,-0.26295522,-0.88748224,0.35121218,-2.91229982,-0.28068318,0.037328617,-0.27664075,-0.464659617,0.774541517,-0.6667665,-0.210940583,-0.083851586,-0.215210614,-0.744128314,-0.645965729,-1.413146257,-0.769594157,-0.153998088,-0.217783688,-0.857293963,-0.504922325,-0.989485488,-0.842905788,-0.1771103,-0.2319402,-0.506680778,-0.135102389,-1.103335278,-0.703814678,-0.25140105,-0.2666302,-0.67607462,-0.44955271,-1.7209009,-0.91602199
1981-12-01,0.6461717,-0.0346659,-0.0761345,-3.2719118,-1.4575499,-0.5172616,-1.8404049,-0.70636,-0.2527754,-0.1218963,-1.8238953,-4.9392945,-1.7359533,1.1234802,-0.2213161,0.7923255,7.5058094,6.8496799,2.4665825,-0.8109328,0.1533702,-2.4209405,-9.1690092,-5.8914248,-4.1215156,-0.362008,-0.3451923,2.2982247,2.8234571,-2.0141336,0.4089142,-0.3612727,-0.38227505,-0.9179643,-1.23415165,-7.97731145,-0.1468201,-0.252403767,-0.2802282,-1.702613467,-1.308617733,-5.490628167,-0.711348367,-0.048287125,-0.29643825,-0.864596725,-0.25866625,-1.4777461,-0.499068175,-0.1799017,-0.28770568,-0.71605664,-0.57171206,-2.17005578,-0.7464452,-0.257422017,-0.279053933,-0.871622783,-0.3960298,-1.479023167,-0.8480522,-0.060150271,-0.270805671,-0.633915886,0.732804371,-0.289208443,-0.374532957,-0.167633713,-0.309309988,-0.8297538,0.231253125,-1.162931325,-0.680952313,-0.239111389,-0.257901078,-1.006552322,-0.813220467,-1.688319489,-1.063237122,-0.18722323,-0.28134585,-0.85979176,-1.02868906,-1.87920892,-0.8533548
1982-01-01,-1.3687171,0.6461717,-0.4927321,-0.5659822,-0.2231235,0.9206936,0.6930343,-0.0346659,-0.0761345,-3.2719118,-1.4575499,-0.5172616,-1.8404049,-0.70636,-0.2527754,-0.1218963,-1.8238953,-4.9392945,-1.7359533,1.1234802,-0.2213161,0.7923255,7.5058094,6.8496799,2.4665825,-0.8109328,0.1533702,-2.4209405,-9.1690092,-5.8914248,-4.1215156,-0.40232715,-0.3084432,0.18975355,0.3230042,-3.1572082,-0.42445105,-0.052827533,-0.369872833,-0.062158367,0.140961633,-1.7979076,-0.051955933,-0.20087655,-0.336353425,-0.45898215,0.2263166,-0.854395725,-0.37798875,-0.16763442,-0.28430964,-1.02156808,-0.1104567,-0.7869689,-0.67047198,-0.29303165,-0.333398067,-1.2180766,-0.638648183,-1.868972667,-1.02970795,-0.352078557,-0.321880543,-1.061479414,-0.8079692,-2.307590071,-1.130600143,-0.273097463,-0.343189075,-0.871162825,-1.07796135,-2.468793038,-0.859826863,-0.117922167,-0.329647633,-0.686330789,-0.124209044,-1.433407156,-0.490225822,-0.20673392,-0.3707185,-0.94205671,0.43801679,-1.21103332,-0.64176065
1982-02-01,0.5640628,-1.3687171,-0.271818,-1.2699464,-2.2451798,-16.8753165,-0.9866745,0.6461717,-0.4927321,-0.5659822,-0.2231235,0.9206936,0.6930343,-0.0346659,-0.0761345,-3.2719118,-1.4575499,-0.5172616,-1.8404049,-0.70636,-0.2527754,-0.1218963,-1.8238953,-4.9392945,-1.7359533,1.1234802,-0.2213161,0.7923255,7.5058094,6.8496799,2.4665825,-0.0404804,-0.2904318,0,1.68678485,6.26852,-0.6091574,-0.483225967,-0.2842272,-0.423315467,0.376129967,-1.446092167,-0.734996433,-0.592423925,-0.35788045,-0.8676414,-0.537803925,-2.904317,-1.257719275,-0.3447048,-0.38485078,-0.80730956,-0.47486784,-2.13931488,-0.86756856,-0.240625633,-0.402767117,-0.59591575,-0.890374267,-2.382298033,-0.550376117,-0.211202814,-0.356105314,-0.9782009,-0.971399357,-2.115864257,-0.734665943,-0.310557425,-0.404136688,-1.261374538,-0.162718275,-1.752589825,-0.893529463,-0.354535489,-0.387318767,-1.134765844,-0.3472935,-2.106668122,-0.987132111,-0.38910886,-0.39163868,-0.96104988,-0.60453297,-1.51917447,-1.09606977
1982-03-01,-0.6450236,0.5640628,-0.3450684,1.6494535,2.8911882,10.5609001,0.1377724,-1.3687171,-0.271818,-1.2699464,-2.2451798,-16.8753165,-0.9866745,0.6461717,-0.4927321,-0.5659822,-0.2231235,0.9206936,0.6930343,-0.0346659,-0.0761345,-3.2719118,-1.4575499,-0.5172616,-1.8404049,-0.70636,-0.2527754,-0.1218963,-1.8238953,-4.9392945,-1.7359533,-0.7825207,-0.4073177,-1.92503635,-1.39861205,-2.6514258,-2.0909875,-0.333659533,-0.386567933,-0.733539733,0.031321367,1.752682833,-1.348067533,-0.1803021,-0.41301315,-0.434891475,-0.718485575,0.415208675,-0.752154125,-0.4179851,-0.38477412,-0.60190246,-1.02382442,-3.04289636,-0.7990582,-0.5159942,-0.444037817,-1.042183717,0.063154533,-2.4040251,-1.000144183,-0.3499705,-0.450994143,-0.974154929,0.022257671,-1.929065286,-0.758261543,-0.393757838,-0.448434613,-0.777086338,-0.345485563,-1.216898575,-0.923042438,-0.353858733,-0.407067933,-1.054289167,-0.469048267,-1.139161133,-1.0249716,-0.25401641,-0.41909965,-0.84906829,-0.59776323,-1.35008806,-0.6955622
