date,GDP,PC1,EMP_CAN,RT_new,MANU_N_ORD_new,Imp_BP_new,IP_new,INDPRO,MVAAUTLTTS,HOUST
2004-02-01,0.055904,-1.5735479,0.1238868,1.9955428,-1.1711631,6.1272839,-0.3450106,0.6040066,1.2052527,-3.4605529
2004-03-01,0.7651569,14.5178501,0.0745,1.086837,0.9899234,1.8650837,1.2149912,-0.4986037,-2.017181,7.9125544
2004-04-01,0.2434142,2.3231273,0.2691656,-1.008914,3.0771058,0.8372,-0.1826851,0.4503084,0.6527384,0.2499376
2004-05-01,0.3124285,1.5328863,0.1805083,0.1245506,-1.3580709,7.0923022,-0.4293165,0.7895473,-2.0536921,-1.1044289
2004-06-01,0.4530947,-13.1297983,0.0779,0.3614496,0.0985,-4.1402427,1.4510748,-0.8278237,-5.423279,-8.0379295
2004-07-01,0.0697766,16.6244306,0.0496,1.0347386,1.7588984,3.7609751,-0.6786408,0.7675337,0.3983068,9.0924208
2004-08-01,0.4559199,0.055,-0.0521,0.8970414,-2.5704333,-2.3072892,0.5375571,0.0737,2.6417531,1.0929071
2004-09-01,0.2772887,-7.2157694,0.3053246,0.9739801,-0.4714959,1.4299861,0.5032302,0.0842,-1.3934663,-6.0593743
2004-10-01,0.1206547,13.1493587,0.0964,0.6454497,0.2434409,-1.358193,-0.0955,0.9476085,2.0019839,8.4032316
2004-11-01,0.1471446,-24.3163818,0.1156304,0.4316085,-1.8806763,-2.4067511,0.0109,0.2095137,-3.6207162,-15.0777995
2004-12-01,0.0511358,21.5006324,0.06,-0.9416189,-0.3935515,2.1724248,0.0551,0.7329622,4.2126308,13.6193391
2005-01-01,0.4109102,15.0832251,-0.0187,-1.6958906,10.1517681,2.6141893,1.2773397,0.4593236,-1.8425086,4.8743523
2005-02-01,0.1127476,2.0456982,0.2245356,2.1460346,-4.9203295,-0.4984259,-1.0145567,0.6854054,5.7374372,2.8960884
2005-03-01,-0.3400754,-27.6735469,-0.0243,-0.5527327,-0.6930569,0.0939,-1.0460051,-0.1587765,-5.1468197,-16.8909411
2005-04-01,0.7390932,17.1105254,0.1743332,-0.1575073,0.6376899,0.2500801,1.2581653,0.1683273,-1.4632157,10.0466586
2005-05-01,0.4517805,-0.5608706,-0.00498,0.6448903,-0.9977166,2.5539413,0.8433651,0.1305025,-0.3760603,-1.7621601
2005-06-01,0.3257969,3.2130959,0.1877001,1.65456,-0.5472048,0.00894,-0.6629105,0.3827879,2.9635754,2.1012256
2005-07-01,0.186259,-1.0075063,0.2071794,0.5290594,0.7448062,-1.0128002,0.2890191,-0.3166473,-5.8931475,-0.6792845
2005-08-01,0.6416211,5.9904264,0.2191178,-0.0906,2.3129908,0.4667906,0.8588819,0.2748324,7.1992689,1.9764442
2005-09-01,0.0157126,1.1930345,-0.0829,-1.8263934,-0.0941,1.2486094,0.1759479,-1.8842965,1.3161758,2.6379297
2005-10-01,0.225179,-2.6985906,0.2928875,1.5606365,1.5411541,0.1091838,0.0827,1.2533549,0.3230045,-4.0802624
2005-11-01,0.621126,8.0899581,0.2009407,1.4022458,-1.7405712,0.8692055,0.7623905,1.0085416,-4.8218234,3.8941292
2005-12-01,0.3640382,-7.7641473,-0.0394,1.048064,1.7022039,1.158994,0.667858,0.618191,-5.100373,-7.3928847
2006-01-01,0.2359288,19.8639831,-0.0789,0.3984951,1.3724978,0.4301018,-0.4221166,0.1178181,4.2520687,13.0957873
2006-02-01,0.2686728,-13.6396528,0.2401435,1.5040593,-2.6060622,-4.4576763,-0.2349298,0.00416,-1.7807544,-7.0156266
2006-03-01,0.307841,-8.4036658,0.3094875,0.4037519,1.1411828,2.1762017,0.150187,0.2057903,2.3244622,-7.341848
2006-04-01,-0.0532719,-12.8150545,0.181317,0.2864912,-3.9146765,2.339616,-0.6437005,0.4002836,-0.394889,-7.8139999
2006-05-01,0.0619164,9.6511007,0.4689169,-0.1234089,0.5160738,0.4440374,-0.344016,-0.1006591,-2.556001,6.4332569
2006-06-01,-0.1604559,-10.0608438,0.0238,0.3253689,1.7030639,0.8783791,-0.5340242,0.3834967,2.0030157,-7.4821211
2006-07-01,0.1004966,-4.8447331,0.0128,0.5567661,1.2326137,0.4584229,0.0398,-0.0367,-14.019862,-3.6737672
2006-08-01,0.022915,-8.681323,0.0347,-0.65706,-1.6557684,1.3194561,-0.7133406,0.3924327,9.4301463,-5.1384199
2006-09-01,-0.2427363,1.8171727,0.1508452,0.4435777,-0.1644115,-3.6307817,-1.6539619,-0.2029758,-4.6444581,4.1549003
2006-10-01,0.157236,-22.4869533,0.1366589,-0.172128,-2.194146,0.9047622,-0.1977492,-0.0572,-1.7250635,-14.2877255
2006-11-01,0.1995553,9.6125594,0.1673803,-0.501617,3.2515195,1.4455,-0.0795,-0.0961,1.4249259,5.1628584
2006-12-01,0.6985171,15.3320501,0.3888643,1.9640855,5.7347509,2.2193127,1.021495,1.0345559,4.8961262,4.9093424
2007-01-01,-0.0203499,-27.2228511,0.3254093,-0.4554334,-4.5444583,0.0518,-0.434675,-0.5215013,-8.01476,-15.7288811
2007-02-01,0.4630137,10.913805,0.1268635,-0.0301,1.9716588,-0.142306,1.068728,1.0029222,5.0358486,4.9161855
2007-03-01,0.1809733,2.8274114,0.2886005,0.2443136,-1.6570647,3.0179053,0.184963,0.2177747,-0.3039867,1.0084119
2007-04-01,0.1026094,-0.5292566,-0.0899,1.4325095,1.0706602,-2.5627808,-0.4441086,0.7004665,5.9580154,-0.3350087
2007-05-01,0.4073452,-8.7519453,0.1384291,0.5682882,-1.3977833,-1.6301997,0.2227058,0.0486,-2.477658,-5.1646589
2007-06-01,0.2560739,2.9551596,0.3425511,-0.3255711,-2.4452425,0.7535565,0.275802,0.0282,2.9801785,2.3053763
2007-07-01,-0.0448367,-9.0004081,0.2545084,0.1156069,2.7726115,1.856733,-1.0574519,-0.0373,-3.1347596,-6.7120119
2007-08-01,0.2658233,-4.9290581,0.0458,1.2204436,-3.9668845,-3.2166084,0.6230499,0.2225745,-1.339733,-1.7884232
2007-09-01,-0.1935141,-19.4136712,0.2673957,-0.9847247,-2.8730403,0.5897921,-0.5371058,0.3863442,-6.2352189,-11.7125357
2007-10-01,0.0737991,7.1242574,0.3293978,0.4331554,-0.3802013,-2.7680122,-0.7057816,-0.4231032,0.5033753,6.6227711
2007-11-01,0.0761484,-2.9400053,0.097,1.3317036,7.3107445,0.9529646,-0.3430911,0.5871927,1.9806942,-5.4462869
2007-12-01,-0.3910375,-25.1080886,0.0201,1.5754569,-4.1342718,0.6348985,-1.8275831,0.0113,1.127201,-14.3486497
2008-01-01,0.3319736,6.03768,0.1528939,0.3811558,-2.5982641,3.0474025,-0.2490445,-0.2697623,-5.2266442,4.4325974
2008-02-01,-0.1406484,3.2960187,0.2674444,-0.7744851,2.0445423,0.2370788,0.1594711,-0.3360806,1.0801469,1.7375837
2008-03-01,-0.0524466,-14.8308847,-0.0906,0.0857,4.1263732,-2.3351232,-0.9092174,-0.2369354,-9.1083439,-9.3046199
2008-04-01,0.3467243,1.0532348,0.1153443,0.0607,-4.6419401,4.1959023,1.0555723,-0.7602904,-6.2890391,0.7928684
2008-05-01,0.0797719,-1.4976664,0.0294,0.3003415,6.7153865,4.1555922,-0.2892786,-0.5650134,0.5759978,-4.0287422
2008-06-01,0.33636,13.2614509,-0.0394,0.4258144,0.4662252,3.1731153,0.7145333,-0.2348363,6.7767639,7.2344562
2008-07-01,0.5842143,-16.0581732,-0.0518,-0.1121917,1.9471805,0.8672509,1.571664,-0.5306511,-1.3486374,-12.509941
