date,GDP,GDP_lag1,EMP_CAN_lag1,GDP_lag2,EMP_CAN_lag2,GDP_lag3,EMP_CAN_lag3,GDP_lag4,EMP_CAN_lag4,GDP_lag5,EMP_CAN_lag5,GDP_lag1_roll_2,EMP_CAN_lag1_roll_2,GDP_lag2_roll_2,EMP_CAN_lag2_roll_2,GDP_lag3_roll_2,EMP_CAN_lag3_roll_2,GDP_lag4_roll_2,EMP_CAN_lag4_roll_2,GDP_lag5_roll_2,GDP_lag1_roll_3,EMP_CAN_lag1_roll_3,GDP_lag2_roll_3,EMP_CAN_lag2_roll_3,GDP_lag3_roll_3,EMP_CAN_lag3_roll_3,GDP_lag4_roll_3,EMP_CAN_lag4_roll_3,GDP_lag5_roll_3,GDP_lag1_roll_4,EMP_CAN_lag1_roll_4,GDP_lag2_roll_4,EMP_CAN_lag2_roll_4,GDP_lag3_roll_4,EMP_CAN_lag3_roll_4,GDP_lag4_roll_4,EMP_CAN_lag4_roll_4,GDP_lag5_roll_4,GDP_lag1_roll_5,EMP_CAN_lag1_roll_5,GDP_lag2_roll_5,EMP_CAN_lag2_roll_5,GDP_lag3_roll_5,EMP_CAN_lag3_roll_5,GDP_lag4_roll_5,EMP_CAN_lag4_roll_5,GDP_lag5_roll_5,GDP_lag1_roll_6,EMP_CAN_lag1_roll_6,GDP_lag2_roll_6,EMP_CAN_lag2_roll_6,GDP_lag3_roll_6,EMP_CAN_lag3_roll_6,GDP_lag4_roll_6,EMP_CAN_lag4_roll_6,GDP_lag5_roll_6,GDP_lag1_roll_7,EMP_CAN_lag1_roll_7,GDP_lag2_roll_7,EMP_CAN_lag2_roll_7,GDP_lag3_roll_7,EMP_CAN_lag3_roll_7,GDP_lag4_roll_7,EMP_CAN_lag4_roll_7,GDP_lag5_roll_7,GDP_lag1_roll_8,EMP_CAN_lag1_roll_8,GDP_lag2_roll_8,EMP_CAN_lag2_roll_8,GDP_lag3_roll_8,EMP_CAN_lag3_roll_8,GDP_lag4_roll_8,EMP_CAN_lag4_roll_8,GDP_lag5_roll_8,GDP_lag1_roll_9,EMP_CAN_lag1_roll_9,GDP_lag2_roll_9,EMP_CAN_lag2_roll_9,GDP_lag3_roll_9,EMP_CAN_lag3_roll_9,GDP_lag4_roll_9,EMP_CAN_lag4_roll_9,GDP_lag5_roll_9,GDP_lag1_roll_10,EMP_CAN_lag1_roll_10,GDP_lag2_roll_10,EMP_CAN_lag2_roll_10,GDP_lag3_roll_10,EMP_CAN_lag3_roll_10,GDP_lag4_roll_10,EMP_CAN_lag4_roll_10,GDP_lag5_roll_10,EMP_CAN_lag5_roll_2,EMP_CAN_lag5_roll_3,EMP_CAN_lag5_roll_4,EMP_CAN_lag5_roll_5,EMP_CAN_lag5_roll_6,EMP_CAN_lag5_roll_7,EMP_CAN_lag5_roll_8,EMP_CAN_lag5_roll_9,EMP_CAN_lag5_roll_10
1981-10-01,-0.70636,1.1234802,-0.2213161,-0.8109328,0.1533702,-0.362008,-0.3451923,-0.1484003,0.2623079,-0.836364,0.2647652,0.2085601,-0.2370458,0.1562737,-0.033973,-0.5864704,-0.0959111,-0.2552042,-0.0414422,-0.4923822,-0.1312709,-0.1069071,-0.0164869,-0.1377127,-0.440447,0.0234953,-0.4489241,0.0606269,0.0638976,-0.1071196,-0.099214,-0.1889552,-0.1664784,-0.0494652,-0.0377076,-0.5394263,0.0838128,-0.0425788,-0.1580973,-0.1484096,-0.1808442,-0.0807211,-0.206845,0.022787,-0.1962496,0.13273,-0.0504603,-0.0240525,-0.2057967,-0.1564811,-0.0799567,-0.2900975,-0.0231401,0.0237054,0.0737223,-0.1772057,-0.0418164,-0.1389246,-0.2536073,-0.0307107,-0.0805897,0.0270798,0.00861,0.0573653,-0.108424,-0.207679,-0.1555363,-0.1411349,-0.0884634,-0.0748492,0.014178,-0.0807643,0.0185977,0.045564,-0.2775329,-0.1088361,0.00526,-0.0421454,-0.0756422,0.00807,-0.0379831,0.0924179,0.0308885,-0.1933733,-0.1324594,-0.1321339,-0.0651126,-0.00346,-0.0420085,-0.0376514,0.0755626,-0.0428363,0.2635366,0.2851573,0.1275699,0.0939006,0.1038122,0.1865503,0.135567,0.1866344,0.1426934
1981-11-01,-0.0346659,-0.70636,-0.2527754,1.1234802,-0.2213161,-0.8109328,0.1533702,-0.362008,-0.3451923,-0.1484003,0.2623079,-0.370513,-0.164455,0.2085601,-0.2370458,0.1562737,-0.033973,-0.5864704,-0.0959111,-0.2552042,0.1274848,-0.1834087,-0.1312709,-0.1069071,-0.0164869,-0.1377127,-0.440447,0.0234953,-0.4489241,0.2571565,-0.2607395,-0.1071196,-0.099214,-0.1889552,-0.1664784,-0.0494652,-0.0377076,-0.5394263,0.0435386,-0.1779176,-0.1580973,-0.1484096,-0.1808442,-0.0807211,-0.206845,0.022787,-0.1962496,-0.1918373,-0.1935677,-0.0240525,-0.2057967,-0.1564811,-0.0799567,-0.2900975,-0.0231401,0.0237054,-0.2161474,-0.2152283,-0.0418164,-0.1389246,-0.2536073,-0.0307107,-0.0805897,0.0270798,0.00861,-0.1186211,-0.2314583,-0.207679,-0.1555363,-0.1411349,-0.0884634,-0.0748492,0.014178,-0.0807643,-0.1219299,-0.1765954,-0.2775329,-0.1088361,0.00526,-0.0421454,-0.0756422,0.00807,-0.0379831,-0.1742393,-0.1825154,-0.1933733,-0.1324594,-0.1321339,-0.0651126,-0.00346,-0.0420085,-0.0376514,-0.0414422,0.0606269,0.0838128,0.13273,0.0737223,0.0573653,0.0185977,0.0924179,0.0755626
1981-12-01,0.6461717,-0.0346659,-0.0761345,-0.70636,-0.2527754,1.1234802,-0.2213161,-0.8109328,0.1533702,-0.362008,-0.3451923,0.3057529,-0.2844333,-0.370513,-0.164455,0.2085601,-0.2370458,0.1562737,-0.033973,-0.5864704,-0.0316181,-0.2738807,0.1274848,-0.1834087,-0.1312709,-0.1069071,-0.0164869,-0.1377127,-0.440447,-0.3658928,-0.273365,0.2571565,-0.2607395,-0.1071196,-0.099214,-0.1889552,-0.1664784,-0.0494652,-0.0680182,-0.2629552,0.0435386,-0.1779176,-0.1580973,-0.1484096,-0.1808442,-0.0807211,-0.206845,0.0373286,-0.2766408,-0.1918373,-0.1935677,-0.0240525,-0.2057967,-0.1564811,-0.0799567,-0.2900975,-0.0838516,-0.2152106,-0.2161474,-0.2152283,-0.0418164,-0.1389246,-0.2536073,-0.0307107,-0.0805897,-0.1539981,-0.2177837,-0.1186211,-0.2314583,-0.207679,-0.1555363,-0.1411349,-0.0884634,-0.0748492,-0.1771103,-0.2319402,-0.1219299,-0.1765954,-0.2775329,-0.1088361,0.00526,-0.0421454,-0.0756422,-0.2514011,-0.2666302,-0.1742393,-0.1825154,-0.1933733,-0.1324594,-0.1321339,-0.0651126,-0.00346,-0.0959111,0.0234953,-0.0377076,0.022787,-0.0231401,0.0270798,0.014178,0.00807,-0.0420085
1982-01-01,-1.3687171,0.6461717,-0.4927321,-0.0346659,-0.0761345,-0.70636,-0.2527754,1.1234802,-0.2213161,-0.8109328,0.1533702,-0.3612727,-0.3822751,0.3057529,-0.2844333,-0.370513,-0.164455,0.2085601,-0.2370458,0.1562737,-0.2524038,-0.2802282,-0.0316181,-0.2738807,0.1274848,-0.1834087,-0.1312709,-0.1069071,-0.0164869,-0.0482871,-0.2964383,-0.3658928,-0.273365,0.2571565,-0.2607395,-0.1071196,-0.099214,-0.1889552,-0.1799017,-0.2877057,-0.0680182,-0.2629552,0.0435386,-0.1779176,-0.1580973,-0.1484096,-0.1808442,-0.257422,-0.2790539,0.0373286,-0.2766408,-0.1918373,-0.1935677,-0.0240525,-0.2057967,-0.1564811,-0.0601503,-0.2708057,-0.0838516,-0.2152106,-0.2161474,-0.2152283,-0.0418164,-0.1389246,-0.2536073,-0.1676337,-0.30931,-0.1539981,-0.2177837,-0.1186211,-0.2314583,-0.207679,-0.1555363,-0.1411349,-0.2391114,-0.2579011,-0.1771103,-0.2319402,-0.1219299,-0.1765954,-0.2775329,-0.1088361,0.00526,-0.1872232,-0.2813459,-0.2514011,-0.2666302,-0.1742393,-0.1825154,-0.1933733,-0.1324594,-0.1321339,-0.033973,-0.1377127,-0.1664784,-0.0807211,-0.0799567,-0.0307107,-0.0884634,-0.0421454,-0.0651126
1982-02-01,0.5640628,-1.3687171,-0.271818,0.6461717,-0.4927321,-0.0346659,-0.0761345,-0.70636,-0.2527754,1.1234802,-0.2213161,-0.4023272,-0.3084432,-0.3612727,-0.3822751,0.3057529,-0.2844333,-0.370513,-0.164455,0.2085601,-0.0528275,-0.3698728,-0.2524038,-0.2802282,-0.0316181,-0.2738807,0.1274848,-0.1834087,-0.1312709,-0.2008766,-0.3363534,-0.0482871,-0.2964383,-0.3658928,-0.273365,0.2571565,-0.2607395,-0.1071196,-0.1676344,-0.2843096,-0.1799017,-0.2877057,-0.0680182,-0.2629552,0.0435386,-0.1779176,-0.1580973,-0.2930317,-0.3333981,-0.257422,-0.2790539,0.0373286,-0.2766408,-0.1918373,-0.1935677,-0.0240525,-0.3520786,-0.3218805,-0.0601503,-0.2708057,-0.0838516,-0.2152106,-0.2161474,-0.2152283,-0.0418164,-0.2730975,-0.3431891,-0.1676337,-0.30931,-0.1539981,-0.2177837,-0.1186211,-0.2314583,-0.207679,-0.1179222,-0.3296476,-0.2391114,-0.2579011,-0.1771103,-0.2319402,-0.1219299,-0.1765954,-0.2775329,-0.2067339,-0.3707185,-0.1872232,-0.2813459,-0.2514011,-0.2666302,-0.1742393,-0.1825154,-0.1933733,-0.2370458,-0.1069071,-0.099214,-0.1484096,-0.2057967,-0.1389246,-0.1555363,-0.1088361,-0.1324594
1982-03-01,-0.6450236,0.5640628,-0.3450684,-1.3687171,-0.271818,0.6461717,-0.4927321,-0.0346659,-0.0761345,-0.70636,-0.2527754,-0.0404804,-0.2904318,-0.4023272,-0.3084432,-0.3612727,-0.3822751,0.3057529,-0.2844333,-0.370513,-0.483226,-0.2842272,-0.0528275,-0.3698728,-0.2524038,-0.2802282,-0.0316181,-0.2738807,0.1274848,-0.5924239,-0.3578805,-0.2008766,-0.3363534,-0.0482871,-0.2964383,-0.3658928,-0.273365,0.2571565,-0.3447048,-0.3848508,-0.1676344,-0.2843096,-0.1799017,-0.2877057,-0.0680182,-0.2629552,0.0435386,-0.2406256,-0.4027671,-0.2930317,-0.3333981,-0.257422,-0.2790539,0.0373286,-0.2766408,-0.1918373,-0.2112028,-0.3561053,-0.3520786,-0.3218805,-0.0601503,-0.2708057,-0.0838516,-0.2152106,-0.2161474,-0.3105574,-0.4041367,-0.2730975,-0.3431891,-0.1676337,-0.30931,-0.1539981,-0.2177837,-0.1186211,-0.3545355,-0.3873188,-0.1179222,-0.3296476,-0.2391114,-0.2579011,-0.1771103,-0.2319402,-0.1219299,-0.3891089,-0.3916387,-0.2067339,-0.3707185,-0.1872232,-0.2813459,-0.2514011,-0.2666302,-0.1742393,-0.164455,-0.1834087,-0.2607395,-0.1779176,-0.1935677,-0.2152283,-0.2314583,-0.1765954,-0.1825154
1982-04-01,-0.9200178,-0.6450236,-0.2357952,0.5640628,-0.3450684,-1.3687171,-0.271818,0.6461717,-0.4927321,-0.0346659,-0.0761345,-0.7825207,-0.4073177,-0.0404804,-0.2904318,-0.4023272,-0.3084432,-0.3612727,-0.3822751,0.3057529,-0.3336595,-0.3865679,-0.483226,-0.2842272,-0.0528275,-0.3698728,-0.2524038,-0.2802282,-0.0316181,-0.1803021,-0.4130132,-0.5924239,-0.3578805,-0.2008766,-0.3363534,-0.0482871,-0.2964383,-0.3658928,-0.4179851,-0.3847741,-0.3447048,-0.3848508,-0.1676344,-0.2843096,-0.1799017,-0.2877057,-0.0680182,-0.5159942,-0.4440378,-0.2406256,-0.4027671,-0.2930317,-0.3333981,-0.257422,-0.2790539,0.0373286,-0.3499705,-0.4509941,-0.2112028,-0.3561053,-0.3520786,-0.3218805,-0.0601503,-0.2708057,-0.0838516,-0.3937578,-0.4484346,-0.3105574,-0.4041367,-0.2730975,-0.3431891,-0.1676337,-0.30931,-0.1539981,-0.3538587,-0.4070679,-0.3545355,-0.3873188,-0.1179222,-0.3296476,-0.2391114,-0.2579011,-0.1771103,-0.2540164,-0.4190997,-0.3891089,-0.3916387,-0.2067339,-0.3707185,-0.1872232,-0.2813459,-0.2514011,-0.2844333,-0.2738807,-0.273365,-0.2629552,-0.2766408,-0.2152106,-0.2177837,-0.2319402,-0.2666302
1982-05-01,0.2797702,-0.9200178,-0.5788402,-0.6450236,-0.2357952,0.5640628,-0.3450684,-1.3687171,-0.271818,0.6461717,-0.4927321,-0.3201238,-0.5355945,-0.7825207,-0.4073177,-0.0404804,-0.2904318,-0.4023272,-0.3084432,-0.3612727,-0.4284237,-0.4356614,-0.3336595,-0.3865679,-0.483226,-0.2842272,-0.0528275,-0.3698728,-0.2524038,-0.5728277,-0.5118351,-0.1803021,-0.4130132,-0.5924239,-0.3578805,-0.2008766,-0.3363534,-0.0482871,-0.3454496,-0.4784818,-0.4179851,-0.3847741,-0.3447048,-0.3848508,-0.1676344,-0.2843096,-0.1799017,-0.4045862,-0.4704878,-0.5159942,-0.4440378,-0.2406256,-0.4027671,-0.2930317,-0.3333981,-0.257422,-0.5423192,-0.4421064,-0.3499705,-0.4509941,-0.2112028,-0.3561053,-0.3520786,-0.3218805,-0.0601503,-0.3939587,-0.4527662,-0.3937578,-0.4484346,-0.3105574,-0.4041367,-0.2730975,-0.3431891,-0.1676337,-0.2783887,-0.4572069,-0.3538587,-0.4070679,-0.3545355,-0.3873188,-0.1179222,-0.3296476,-0.2391114,-0.2545502,-0.4388392,-0.2540164,-0.4190997,-0.3891089,-0.3916387,-0.2067339,-0.3707185,-0.1872232,-0.3822751,-0.2802282,-0.2964383,-0.2877057,-0.2790539,-0.2708057,-0.30931,-0.2579011,-0.2813459
1982-06-01,-1.0060397,0.2797702,-0.4923488,-0.9200178,-0.5788402,-0.6450236,-0.2357952,0.5640628,-0.3450684,-1.3687171,-0.271818,-0.3631348,-0.6163526,-0.3201238,-0.5355945,-0.7825207,-0.4073177,-0.0404804,-0.2904318,-0.4023272,-0.5487624,-0.6038484,-0.4284237,-0.4356614,-0.3336595,-0.3865679,-0.483226,-0.2842272,-0.0528275,-0.5866391,-0.5605158,-0.5728277,-0.5118351,-0.1803021,-0.4130132,-0.5924239,-0.3578805,-0.2008766,-0.598316,-0.4955717,-0.3454496,-0.4784818,-0.4179851,-0.3847741,-0.3447048,-0.3848508,-0.1676344,-0.3911693,-0.5008739,-0.4045862,-0.4704878,-0.5159942,-0.4440378,-0.2406256,-0.4027671,-0.2930317,-0.2547075,-0.478616,-0.5423192,-0.4421064,-0.3499705,-0.4509941,-0.2112028,-0.3561053,-0.3520786,-0.2278695,-0.4529802,-0.3939587,-0.4527662,-0.3937578,-0.4484346,-0.3105574,-0.4041367,-0.2730975,-0.3546304,-0.4328511,-0.2783887,-0.4572069,-0.3538587,-0.4070679,-0.3545355,-0.3873188,-0.1179222,-0.4442903,-0.4076266,-0.2545502,-0.4388392,-0.2540164,-0.4190997,-0.3891089,-0.3916387,-0.2067339,-0.3084432,-0.3698728,-0.3363534,-0.2843096,-0.3333981,-0.3218805,-0.3431891,-0.3296476,-0.3707185
1982-07-01,-0.7002692,-1.0060397,-0.7403563,0.2797702,-0.4923488,-0.9200178,-0.5788402,-0.6450236,-0.2357952,0.5640628,-0.3450684,-0.8531545,-0.5854371,-0.3631348,-0.6163526,-0.3201238,-0.5355945,-0.7825207,-0.4073177,-0.0404804,-0.4755129,-0.5544077,-0.5487624,-0.6038484,-0.4284237,-0.4356614,-0.3336595,-0.3865679,-0.483226,-0.1954936,-0.547652,-0.5866391,-0.5605158,-0.5728277,-0.5118351,-0.1803021,-0.4130132,-0.5924239,-0.3403984,-0.5538897,-0.598316,-0.4955717,-0.3454496,-0.4784818,-0.4179851,-0.3847741,-0.3447048,-0.2903326,-0.507163,-0.3911693,-0.5008739,-0.4045862,-0.4704878,-0.5159942,-0.4440378,-0.2406256,-0.3410027,-0.4683962,-0.2547075,-0.478616,-0.5423192,-0.4421064,-0.3499705,-0.4509941,-0.2112028,-0.4547811,-0.4324225,-0.2278695,-0.4529802,-0.3939587,-0.4527662,-0.3937578,-0.4484346,-0.3105574,-0.3415762,-0.4227165,-0.3546304,-0.4328511,-0.2783887,-0.4572069,-0.3538587,-0.4070679,-0.3545355,-0.2387271,-0.4018821,-0.4442903,-0.4076266,-0.2545502,-0.4388392,-0.2540164,-0.4190997,-0.3891089,-0.2904318,-0.2842272,-0.3578805,-0.3848508,-0.4027671,-0.3561053,-0.4041367,-0.3873188,-0.3916387
