date,GDP,EMP_CAN
1981-01-01,-0.0865156,0.5951733
1981-02-01,0.3042663,0.6829789
1981-03-01,-0.0819862,-0.0407765
1981-04-01,1.176457,0.3283988
1981-05-01,-0.836364,0.2647652
1981-06-01,-0.1484003,0.2623079
1981-07-01,-0.362008,-0.3451923
1981-08-01,-0.8109328,0.1533702
1981-09-01,1.1234802,-0.2213161
1981-10-01,-0.70636,-0.2527754
1981-11-01,-0.0346659,-0.0761345
1981-12-01,0.6461717,-0.4927321
1982-01-01,-1.3687171,-0.271818
1982-02-01,0.5640628,-0.3450684
1982-03-01,-0.6450236,-0.2357952
1982-04-01,-0.9200178,-0.5788402
1982-05-01,0.2797702,-0.4923488
1982-06-01,-1.0060397,-0.7403563
1982-07-01,-0.7002692,-0.4305179
1982-08-01,0.6445645,-0.5273851
1982-09-01,-0.0400035,-0.2735297
1982-10-01,-1.2512293,-0.1806066
1982-11-01,0.6869144,-0.2143723
1982-12-01,0.3596024,0.0928583
1983-01-01,0.4047408,0.2502875
1983-02-01,0.1110299,0.158192
1983-03-01,0.8082762,0.5227481
1983-04-01,0.3600116,0.529177
1983-05-01,1.0661557,0.1818589
1983-06-01,1.5747732,0.6271097
1983-07-01,-0.5050208,0.4706999
1983-08-01,0.6948535,0.4792802
1983-09-01,0.692173,0.4268912
1983-10-01,-0.802947,-0.0975937
1983-11-01,0.4085662,-0.011646
1983-12-01,0.8903586,0.2272993
1984-01-01,0.9471293,-0.1681876
1984-02-01,-0.1105188,0.3155662
1984-03-01,0.6969951,0.0178493
1984-04-01,1.0784164,-0.0660585
1984-05-01,0.1946893,0.4188208
1984-06-01,0.051287,0.611704
1984-07-01,0.4816927,0.3713984
1984-08-01,0.394137,-0.0643005
1984-09-01,-0.5877904,0.2156397
1984-10-01,1.1077996,0.1221361
1984-11-01,0.1713953,0.0298523
1984-12-01,-0.0686158,0.3435375
1985-01-01,0.912923,0.4486739
1985-02-01,0.7581871,0.2140248
1985-03-01,0.6795614,0.2179038
1985-04-01,-0.6993721,0.3471429
1985-05-01,0.9902828,0.3640257
1985-06-01,0.3410618,0.1144544
1985-07-01,0.2890807,0.4642171
1985-08-01,0.3933071,0.2650344
1985-09-01,0.4942248,0.0955819
1985-10-01,1.6130797,0.2615294
1985-11-01,0.5425815,0.5514798
1985-12-01,0.0776456,0.3505145
1986-01-01,-0.0757547,0.3618923
1986-02-01,-0.0491767,0.1208997
1986-03-01,-0.8861115,0.0704574
1986-04-01,1.0979229,0.6835377
1986-05-01,-0.5760053,-0.257658
1986-06-01,-0.0645794,0.330915
1986-07-01,0.5914879,0.00166
1986-08-01,-0.1948817,0.0632232
1986-09-01,0.1382015,0.0872822
1986-10-01,-0.0927922,0.2025334
1986-11-01,-0.3013679,0.1855718
1986-12-01,1.1083019,-0.0190384
1987-01-01,0.2812122,0.184437
1987-02-01,1.0060656,0.2426404
1987-03-01,0.1870623,0.416232
1987-04-01,0.1590265,0.3891613
1987-05-01,0.2729807,0.4584919
1987-06-01,0.7269506,0.2739271
1987-07-01,0.659852,0.2116369
1987-08-01,0.371793,0.2483649
1987-09-01,0.6189505,0.368577
1987-10-01,0.3340971,0.5259092
1987-11-01,0.6130976,0.2559305
1987-12-01,0.1050115,0.5091097
1988-01-01,0.0659352,0.1477058
1988-02-01,0.2433919,0.3224468
1988-03-01,1.1714853,0.1580703
1988-04-01,-0.0843034,0.1057675
1988-05-01,0.6736523,0.0291848
1988-06-01,0.2211833,0.1450087
1988-07-01,-0.2316387,0.107832
1988-08-01,0.2003386,0.0644862
1988-09-01,0.3821533,0.1005783
1988-10-01,0.0155916,0.2525709
1988-11-01,0.1593745,0.2409941
1988-12-01,0.7998156,0.4180126
1989-01-01,0.1063186,0.5634167
1989-02-01,0.2467612,0.1144678
1989-03-01,-0.1917995,0.3518631
1989-04-01,0.3525118,-0.1734619
1989-05-01,-0.00854,0.0177455
1989-06-01,-0.1590162,0.1326056
1989-07-01,0.0324809,0.00308
1989-08-01,0.5186567,0.3791015
1989-09-01,0.2921724,0.00307
1989-10-01,-0.191899,0.0383671
1989-11-01,0.4460222,0.1931464
1989-12-01,0.2316772,0.0543509
1990-01-01,0.3117794,0.2644433
1990-02-01,0.1681849,0.2553715
1990-03-01,0.1259856,-0.0670195
1990-04-01,-0.5857053,0.1157328
1990-05-01,-0.0828212,-0.3002685
1990-06-01,0.0355774,0.2477485
1990-07-01,0.00675,-0.1584883
1990-08-01,-0.4231746,-0.1014729
1990-09-01,-0.6976546,-0.0824749
1990-10-01,-0.00853,-0.3842508
1990-11-01,-0.6615065,-0.4149926
1990-12-01,-0.1841339,-0.3904326
1991-01-01,-0.6687424,-0.3136025
1991-02-01,0.0519697,-0.3815182
1991-03-01,-0.079698,-0.2798753
1991-04-01,0.7308892,0.3234622
1991-05-01,0.415924,0.2269672
1991-06-01,-0.0309794,0.0496775
1991-07-01,-0.0805915,-0.1087016
1991-08-01,0.0514489,0.030293
1991-09-01,-0.1029242,-0.161669
1991-10-01,0.3514845,0.043552
1991-11-01,-0.0138146,-0.2943446
1991-12-01,-0.3875867,-0.1014302
1992-01-01,0.4287618,-0.1562476
1992-02-01,-0.2810644,-0.1478787
1992-03-01,0.0961038,-0.2069274
1992-04-01,0.2071855,-0.1099082
1992-05-01,0.00684,0.0447629
1992-06-01,0.0512659,-0.1516467
