date,GDP,Property..Management,small.business,car.electronic,Finance,construction,energy.sector,us.retail,army,financial.markets,property.development,rental,farm,services,export,ford,volvo,transportation,consumption,mining,us.employment,business.sector
2004-02-01,0.055904,27.5058857,3.0722391,87.4676712,-2.6076726,0.7851936,39.2906171,16.8224397,-0.6173708,-25.9818367,-4.550663,0.7468529,6.9584938,-2.1907996,-2.3506519,0.9903378,-3.9132625,-6.6015857,9.6854795,-0.5440956,-28.820475,16.1288888
2004-03-01,0.7651569,-21.7863808,-3.2206798,-57.6884509,2.5632464,0.7982554,-43.3266882,4.5148035,7.5023911,25.5814753,-7.628863,0.3151248,-1.112955,-0.4640617,0.2124492,-2.307311,-0.8303614,-1.8382917,-10.6304444,-0.5512543,-62.2898613,25.7362842
2004-04-01,0.2434142,14.4838126,2.3153095,18.5442959,-8.577706,-2.0529519,1.9020674,-15.9240809,-6.576661,-4.5035574,-7.3740499,3.2277079,-5.4254908,1.0160532,-8.0859633,-1.1329091,-3.6149168,1.5031895,-0.9119279,-2.2955621,39.426894,-50.8003254
2004-05-01,0.3124285,-12.111416,-3.322869,16.653177,7.0771135,0.0908262,-7.7257446,13.2993606,3.0979658,13.0942092,-13.135223,-2.2575775,-2.805654,-0.00371,5.8727712,1.0338207,1.6011544,0.7176493,13.1979015,6.7442903,58.7200116,28.1173914
2004-06-01,0.4530947,6.8345931,7.0547217,-51.3213272,-1.8067295,-0.774875,30.671117,-15.3908614,-0.8183639,-25.6386107,15.7121428,0.0946666,-1.0933018,0.4496473,3.2960651,-0.4940846,6.5720419,-1.2840901,3.7485814,3.2177905,-46.2011258,7.6094697
2004-07-01,0.0697766,-5.3365633,-6.0273526,37.1734256,5.9062332,-0.6047084,-0.7686106,1.3465301,-1.7041854,10.1950864,-19.8914306,1.3912496,0.3264943,0.9911887,-8.7259976,-0.400766,-9.3542495,-2.8857497,-5.6122434,-9.3454627,7.5877366,-2.0846321
2004-08-01,0.4559199,3.3277727,-4.5505323,-28.4987186,-4.2181009,2.7372773,24.3689825,10.7791334,-3.2706925,9.2761647,33.9969921,1.7094115,6.2216221,-1.3579441,6.4790179,-1.7272227,12.7446626,3.1823999,-8.3007661,-5.0332506,1.8241157,-11.2245966
2004-09-01,0.2772887,-6.7565031,5.3036343,-1.1992692,-1.4289002,0.5114266,-46.8204274,-10.0469331,-1.6451947,-18.4861994,2.2260245,-3.9656132,-6.0450194,0.0887983,-1.565287,2.9389652,-3.0450919,-0.6143293,9.5280583,7.4887021,-11.64763,9.5421934
2004-10-01,0.1206547,3.0817088,-0.1965101,12.5826985,1.0861056,-0.2054021,-4.3355346,-5.40435,1.4256129,-14.9703055,-21.0184009,-0.3000497,0.9696826,-0.6485758,0.0567053,0.2031001,-1.8527084,-1.0005288,-0.7855477,0.178276,-27.9895936,-10.4476365
2004-11-01,0.1471446,4.4542841,-1.3367975,3.3941535,-6.5361528,-1.3344745,19.3044168,-12.882311,-0.4140696,-6.680468,24.2227226,0.6402023,0.7453777,-1.8208939,3.9058626,0.9337356,-9.6391683,-3.7171692,-1.5048516,-2.6353329,-1.5401585,-0.981179
2004-12-01,0.0511358,-1.3977772,-1.4866128,-16.8452182,5.326318,2.4782537,-18.9349794,20.1889953,0.8241877,31.9138004,-25.3823129,-0.4761534,-0.0198308,-1.0817633,-3.581572,0.6238008,10.142232,10.6659237,1.0944119,4.6384154,9.3408819,-13.9918527
2005-01-01,0.4109102,-0.5719056,3.6028062,12.8454191,-1.2936523,0.1825034,19.8459691,-2.3124441,4.3641048,-27.5288386,15.8679946,-0.9799813,-0.9058889,0.8257743,-0.5070981,-2.096589,-9.3022664,-5.0989484,-2.7684786,-2.4566883,-7.2968687,24.361443
2005-02-01,0.1127476,-8.1617899,-4.0618859,-3.8543429,2.7772106,-4.7292664,7.6533686,-4.5226409,-5.6139754,-6.7632244,-35.1432296,1.2564997,-0.0554801,1.2833949,-0.5191524,-1.9513651,5.4245062,-2.2612914,-2.6930041,-0.4341197,40.0838453,-24.1171213
2005-03-01,-0.3400754,9.0900739,-4.2631653,-0.0110434,-7.4196531,-1.7889983,-17.514394,-14.6443177,-0.990266,2.5719392,43.4748324,-0.2453611,0.5911673,-0.2849023,-8.8103908,-0.9222,-2.9043685,3.5662015,3.7420709,2.3587729,-19.5974004,28.1614504
2005-04-01,0.7390932,-8.1887209,5.4054662,18.4141188,1.2100598,0.5387089,8.2444418,32.424766,-4.4646684,27.5103623,-13.7888021,-3.6557418,0.7277484,-0.5311326,12.0196855,1.7604753,1.8401798,-1.8631673,-1.008714,-1.0769387,-26.9398304,-10.1337708
2005-05-01,0.4517805,4.6249895,-3.7127622,-12.9827242,2.504886,1.2581042,18.7662268,6.1721291,8.3077689,-11.4644831,-4.9949945,2.8930025,-0.6335306,-1.5861534,-5.8346324,-1.8816959,-3.0233024,-1.8838404,-3.997538,-3.562159,16.3091187,-34.3794665
2005-06-01,0.3257969,11.4934145,1.8762071,-23.6877738,0.399306,-4.2416223,-68.9831084,-14.5780785,-6.8719966,-12.8184992,-36.2023545,4.0913707,1.2809744,-0.1659962,3.8955943,-0.6223526,2.9101449,-1.2331727,-0.3244789,4.0540462,0.3170663,5.3028548
2005-07-01,0.186259,0.0829261,-12.298718,22.043484,-2.1667743,7.38643,68.546357,-5.0901333,-2.7180638,32.4941958,37.3621687,-4.1520849,0.9844674,0.5468293,0.5730597,4.0974676,-0.263576,-0.9217028,-0.8101042,-0.7851932,-4.2601644,-4.3020739
2005-08-01,0.6416211,-2.5344098,9.2607213,20.3826084,0.7394942,-3.3543378,-2.9155294,-7.2840529,4.9589021,-24.0748972,-3.333012,-0.6175771,-3.3480795,0.7740876,-2.7322906,-3.1448759,0.2320046,2.4461789,11.1995115,-4.9090975,16.3416404,14.5373662
2005-09-01,0.0157126,-3.3690666,2.9411582,-8.6760434,3.3369587,-3.8722178,1.0819428,36.3789878,1.3251636,-12.7862179,-38.2198931,0.8498471,-1.477066,-2.5454605,-2.7816252,-5.7719605,-1.2443882,-3.373576,3.1130976,4.5916968,-23.078873,-8.1250264
2005-10-01,0.225179,-0.5437818,-4.2007936,-1.3955931,-0.3660877,2.4115639,5.7222658,-37.2452836,1.5457773,33.6571251,32.1333623,-0.9426534,-1.3268788,1.0055329,-3.3412386,-0.1630521,-4.5871451,1.5386438,-12.9411456,-2.0107813,8.6977752,2.3235557
2005-11-01,0.621126,-1.1415845,-1.6838084,-28.9755836,-5.3355129,1.6807261,-27.3111632,-11.346435,-3.0053632,-7.3038558,-19.9931032,-1.3916191,1.0917566,0.7960316,0.5806806,-0.8782541,10.1424906,-2.7195993,7.8294441,2.8671214,16.2880737,-2.1173
2005-12-01,0.3640382,-0.9560714,3.6435239,32.8593313,2.3308983,2.9708105,-12.8328424,21.7246193,-0.297085,-40.4110533,19.7673044,-0.9089578,-0.9732412,-0.5756089,0.4439488,-2.4795973,0.7304786,-2.5079864,-10.6623611,-5.1375309,-8.3818183,5.9748718
2006-01-01,0.2359288,-0.7637618,-1.5431029,-64.1383865,1.0356783,-5.2540217,20.6320714,-14.2152824,-0.3173816,30.7704132,-42.9863574,3.1304968,8.3481816,-0.6240486,-3.944963,7.2546701,-2.3129458,-1.5048108,10.2233104,3.0484742,-3.5117762,10.8892728
2006-02-01,0.2686728,9.4808824,-2.2507644,54.181175,2.0776006,0.7634788,-42.3588803,20.9175309,3.1470533,17.1748151,36.834166,-2.5195499,-6.1088421,0.4231523,5.0305909,2.9036492,1.133502,-0.4067709,-0.2791748,0.9778814,-6.5761479,4.7068746
2006-03-01,0.307841,-12.701949,1.5611764,1.8679976,6.7807947,-0.0308494,29.0478562,-15.0960311,-3.3876483,-22.1839924,-19.1784886,2.7546735,0.0873118,-1.7675541,-2.7120732,-2.8501435,-2.5774994,-0.5518373,-0.7170274,-3.3360288,-18.9351942,-49.2258146
